raw_tweet,month,label,created_at,id,retweeted,favorite_count,retweet_count,cleaned_tweet
"Also tonight on @CNNTonight I reaffirmed that I will take the Pfizer-BioNTech vaccine if it’s offered to me, or Moderna, or any of the OWS vaccines released by @US_FDA through EUA",December,Expert,Thu Dec 10 04:26:57 +0000 2020,1.3368901220596e+18,False,80.0,8.0,tonight reaffirm take vaccine offer vaccine release
This is great news that I hope doesn’t get lost amongst all the vaccine hype https://t.co/DfvfEF7siK,December,Expert,Thu Dec 10 04:32:30 +0000 2020,1.3368915159943987e+18,False,23.0,4.0,great news hope get lose amongst vaccine
Yes he does and should be one of the first ones to get vaccinated https://t.co/iUAEaBSJK9,December,Expert,Thu Dec 10 04:34:33 +0000 2020,1.33689203441476e+18,False,62.0,7.0,one first one get vaccinate
"Journalistic malpractice. ""She said, she said"" where you're giving equal weight to an expert and a completely unqualified person. This is terrible, @WEWS.  https://t.co/dpGIu9CCbn",December,Expert,Thu Dec 10 04:35:02 +0000 2020,1.336892153868546e+18,False,253.0,41.0,malpractice say say give equal weight expert completely unqualified person terrible
"RT @Brief_19: 🌍 Was Covid-19 In The United States Prior To January 19th?

Yes. But Just How Much?

https://t.co/q9BQd5gdcg via @Brief_19",December,Expert,Thu Dec 10 04:42:17 +0000 2020,1.3368939778035466e+18,False,0.0,3.0,united prior via
"RT @Brief_19: Was There An Increase In Overdose-Related Cardiac Arrests During The Pandemic?

It Is Starting to Look That Way. 

https://t.…",December,Expert,Thu Dec 10 04:42:27 +0000 2020,1.3368940194613207e+18,False,0.0,4.0,increase overdose relate cardiac arrest start look way
"Finishing up a shift in the hospital. We will keep pushing but even staff and energy are limited resources that are already being tested, &amp; may well break by the middle of this month around the country. #covid19 https://t.co/CcXtgLtK2Z",December,Expert,Thu Dec 10 04:49:00 +0000 2020,1.336895669488001e+18,False,83.0,28.0,shift hospital keep push even staff energy limited resource already test may well break middle month around country
"RT @FOAMpodcast: SARS-CoV-2 immunizations in 🤰 and lactation...
we go through what we know
what we don't know
and what  professional societ…",December,Expert,Thu Dec 10 04:54:34 +0000 2020,1.336897069366317e+18,False,0.0,15.0,immunization lactation go professional
@DevinsTractor @WEWS Most of the people with long COVID have no such comorbidities.,December,Expert,Thu Dec 10 05:02:16 +0000 2020,1.3368990065475052e+18,False,4.0,0.0,people long
"I’ve learned way more about COVID from WhatsApp groups &amp; Twitter DMs with friends and colleagues (some I’ve never met) than I have from preprints and journal articles.

Is that surprising to hear? Would you read a story about that? Any outlets  that want to publish that story?",December,Expert,Thu Dec 10 05:13:10 +0000 2020,1.3369017504318956e+18,False,1620.0,140.0,learn way group twitter friend colleague never meet preprint journal surprising hear would read story outlet want publish story
"If COVID-19 was a massive deadly fire, half the people are playing with matches.",December,Expert,Thu Dec 10 05:16:10 +0000 2020,1.336902504315986e+18,False,2426.0,233.0,massive deadly fire half people play match
"RT @meganranney: I really don't know why anyone is surprised by these revelations #COVID19 vaccine manufacturing &amp; distribution snafus. 

A…",December,Expert,Thu Dec 10 05:20:56 +0000 2020,1.3369037056275087e+18,False,0.0,505.0,really know anyone surprise revelation vaccine distribution snafu
"RT @edyong209: More than 3000 deaths recorded in the US today. 

This reflects infections that happened in mid-November, before Thanksgivin…",December,Expert,Thu Dec 10 05:31:51 +0000 2020,1.3369064513027727e+18,False,0.0,548.0,death record today reflect infection happen mid
RT @GaviSeth: We really appreciate your strong support and leadership on these issues. Vaccines are powerful tools and we need to be sure t…,December,Expert,Thu Dec 10 05:34:15 +0000 2020,1.3369070584703836e+18,False,0.0,7.0,really appreciate strong support leadership issue vaccine powerful tool need sure
"RT @DelilahVeronese: @DrOz: Dr. @PeterHotez discusses the safety of the Pfizer #COVID19 vaccine, which early data shows is more than 90% ef…",December,Expert,Thu Dec 10 05:36:44 +0000 2020,1.336907681836241e+18,False,0.0,2.0,discuss safety vaccine early datum show
"RT @TheTinaVasquez: Does my father, who has been a hospital janitor for 15 years and has spent the pandemic cleaning COVID patients' rooms,…",December,Expert,Thu Dec 10 05:58:14 +0000 2020,1.3369130935831388e+18,False,0.0,2419.0,father hospital janitor year spend pandemic cleaning patient room
"7,081 Arizonans have died from COVID. In my Yuma community, 415 were taken too soon. @JENBYUMANEWS continues to update this video so their memory lives on. It's truly tragic that many of these deaths were preventable @dougducey https://t.co/WGOxg6XfrW https://t.co/xMVPOHcPOE",December,Expert,Thu Dec 10 05:58:42 +0000 2020,1.3369132100210117e+18,False,647.0,170.0,die community take soon continue update video memory live truly tragic many death preventable
"Easy on the COVID particles, Pillow. https://t.co/nHd02VbFth",December,Expert,Thu Dec 10 06:01:20 +0000 2020,1.3369138716766863e+18,False,1088.0,86.0,particle pillow
"RT @saribethrose: 1 in 22 Americans tested positive for #COVID19 today

We need everyone who can stay home to #StayAtHome. In-person learni…",December,Expert,Thu Dec 10 06:06:37 +0000 2020,1.3369152029405637e+18,False,0.0,220.0,test positive need everyone stay home person
"Struggling after speaking with ⁦@donlemon⁩ tonight, as I deal with the enormity of 3,000 Americans - mothers, fathers, brothers, sisters - losing their lives today from #COVID19. Asking if I could have done more, what if I had pushed harder on my Oct 1 Plan over the summer? https://t.co/pVN3QbLziI",December,Expert,Thu Dec 10 06:10:04 +0000 2020,1.3369160693369487e+18,False,2235.0,321.0,speak tonight deal enormity mother father brother sister lose life today ask could push hard plan summer
"3,054 people died from COVID19 today. If we don’t do anything then it will be 4,000 a day. Absolute crime against humanity! https://t.co/DngPg4LW6O",December,Expert,Thu Dec 10 06:20:28 +0000 2020,1.3369186858023977e+18,False,505.0,146.0,people die today anything day absolute crime humanity
"We have started running into this situation as I shared earlier this week. We can’t create more beds, meds, staff or supplies as fast as the epidemic is growing. When we lack these necessities, patients start to receive worse care; bad things happen after that. #covid19 https://t.co/07ZbpOhXl5",December,Expert,Thu Dec 10 06:26:57 +0000 2020,1.336920317109936e+18,False,35.0,13.0,start run situation share early week create bed staff supply fast epidemic grow lack necessity patient start receive bad care bad thing happen
"RT @nytimes: More than a third of Americans live where hospitals are running critically short of intensive care beds.

Our analysis of fede…",December,Expert,Thu Dec 10 06:38:44 +0000 2020,1.3369232831705866e+18,False,0.0,734.0,third live hospital run critically short intensive care analysis
"RT @nytimes: More than a third of Americans live where hospitals are running critically short of intensive care beds.

Our analysis of fede…",December,Expert,Thu Dec 10 06:56:30 +0000 2020,1.3369277575955046e+18,False,0.0,734.0,third live hospital run critically short intensive care analysis
"RT @Craig_A_Spencer: More Americans died of COVID19 today than died on 9/11.

After that horrendous attack, we restructured our way of life…",December,Expert,Thu Dec 10 07:30:23 +0000 2020,1.336936284305158e+18,False,0.0,14925.0,die today die horrendous attack way life
"@Gigglez72759457 @blackdoctor_org Our team https://t.co/M3atkgerd5 (In fact, the young man who sprouted out of bed on Jan. 11 to rush to lab to work when we saw the virus sequence is black) @JamesEKHildreth, the president of @MeharryMedical, is at the table today deciding if Pfizer’s vaccine should get EUA.",December,Expert,Thu Dec 10 09:25:47 +0000 2020,1.3369653246636114e+18,False,11.0,2.0,team fact young man sprout bed rush lab work see virus sequence black president table today decide vaccine get
RT @HumeField: Great to see this growing SARSr phylogenetic tree!  I have no doubt that #ShiZhengli and her expert team have been working f…,December,Expert,Thu Dec 10 10:01:51 +0000 2020,1.3369744013889905e+18,False,0.0,3.0,great see grow phylogenetic tree doubt expert team work
"RT @peripatetical: The Australian government COVID vaccine hub. Information on the vaccines, priority populations and news. 
https://t.co/o…",December,Expert,Thu Dec 10 10:02:11 +0000 2020,1.3369744858622894e+18,False,0.0,69.0,government vaccine hub information vaccine priority population news
@bgraceful905 Most real scientists don’t develop vaccines at 34 as a Black woman either. I’m not trying to fit in with “real” scientists. My publication record and patent portfolio does that for me.,December,Expert,Thu Dec 10 10:14:55 +0000 2020,1.3369776905917194e+18,False,12.0,0.0,real scientist develop vaccine black woman either try fit real scientist publication record patent portfolio
"Raging Pandemic, Anemic Response via @thenation https://t.co/Hhd6jUV8DB",December,Expert,Thu Dec 10 10:49:00 +0000 2020,1.3369862656700047e+18,False,21.0,9.0,pandemic anemic response via
"Will be joining @DrOnyemaOgbuagu in @NewDay talking to @JohnBerman &amp; Alisyn Camerota about @US_FDA meeting to authorize @pfizer vaccine; how soon after that will first vaccines be administered &amp; the finding that people with ""severe allergic reactions"" may not be able to get it.",December,Expert,Thu Dec 10 11:09:24 +0000 2020,1.336991399837913e+18,False,29.0,3.0,join talk meeting authorize vaccine soon first vaccine administer finding people severe allergic reaction may able get
"I joined @galienafrique with my brother President @Macky_Sall, State Secretary Awa Coll-Seck, @GalienFdn Chairman Bruno Cohen. #Senegal has shown that with leadership &amp; commitment to basic public health, #COVID19 can be stopped. By working in solidarity, we are all stronger. https://t.co/5HKo3DHqxL",December,Expert,Thu Dec 10 11:16:20 +0000 2020,1.3369931436323922e+18,False,153.0,33.0,join brother president state secretary awa coll seck chairman show leadership commitment basic public health stop work solidarity strong
RT @KathleenESmith: @PeterHotez Thank you for giving your voice &amp; counsel to inform &amp; comfort us during this deadly #pandemic,December,Expert,Thu Dec 10 11:59:29 +0000 2020,1.3370040041366528e+18,False,0.0,5.0,thank give voice counsel inform comfort deadly pandemic
For anyone interested in watching the @US_FDA VRBPAC meeting today regarding the #PfizerBioNTech #COVID19Vaccine it will be live-streamed and info can be found here https://t.co/wJYWUIhv7M,December,Expert,Thu Dec 10 12:12:01 +0000 2020,1.33700715759897e+18,False,7.0,3.0,anyone interested watch meeting today regard live stream find
"This is how #AngelaMerkel a true leader reacts to the death of their citizens. 

In comparison, the US with 3000 fatalities has 5x the number of deaths and we hear nothing from our administration who continues to act like nothing is happening as this pandemic overtakes us https://t.co/5hfIy3ZVEJ",December,Expert,Thu Dec 10 12:33:01 +0000 2020,1.33701244281208e+18,False,28.0,4.0,true leader react death citizen comparison fatality number death hear nothing administration continue act like nothing happen pandemic overtake
In this @KorinMiller piece I’m quoted about #COVID19 transmission over 6 feet. The is occurs rarely and in special circumstances such as sitting directly in an air current as happened in this instance https://t.co/ZwRBMKXb1s,December,Expert,Thu Dec 10 12:40:13 +0000 2020,1.3370142554350674e+18,False,5.0,2.0,piece quote transmission foot occur rarely special circumstance sit directly air current happen instance
