raw_tweet,month,label,created_at,id,retweeted,favorite_count,retweet_count,cleaned_tweet
"@AndrewThinker @nameandnature SARS-CoV-2 - the virus that causes COVID-19, has been isolated from infected patients a ton of times. You are willfully ignoring all the evidence for that. 
https://t.co/f7vE3K3FVQ",November,Expert,Sun Nov 01 04:46:58 +0000 2020,1.3227620309698847e+18,False,0.0,0.0,virus cause isolate infected patient ton time willfully ignore evidence
"RT @peripatetical: There were no reported cases of COVID in Australia in the community yesterday. This isn't anywhere near over, but a whol…",November,Expert,Sun Nov 01 04:57:00 +0000 2020,1.3227645556136632e+18,False,0.0,372.0,report case community yesterday anywhere near
"Amazing what is possible when you let science lead your response and have good leadership. For anyone who says the ""pandemic can't be contained"" just look at #Australia, #NewZealand #Taiwan #Vietnam #SouthKorea among other countries who have been able to control #COVID19 https://t.co/Qd6KmynRy3",November,Expert,Sun Nov 01 05:02:04 +0000 2020,1.322765828949975e+18,False,201.0,74.0,possible let science lead response good leadership anyone say pandemic contain look among country able control
Imagine if C. Everett Koop had made propaganda videos for Mikhail Gorbachev. https://t.co/hh8IDTMiRL,November,Expert,Sun Nov 01 05:32:59 +0000 2020,1.322773610629509e+18,False,134.0,36.0,make propaganda video
"RT @McCormackCEO: Great illustration, reinforces the fact that by abdicating personal and shared responsibilities more holes are introduced…",November,Expert,Sun Nov 01 06:12:05 +0000 2020,1.322783452471595e+18,False,0.0,13.0,great illustration reinforce fact abdicate personal share responsibility hole introduce
"@thermoflynamics @jesswade 15k, specifically from the vaccine arm of the phase 3. Lol 😂",November,Expert,Sun Nov 01 06:37:20 +0000 2020,1.32278980494225e+18,False,1.0,0.0,specifically vaccine arm phase
"The authors use the synthetic control method &amp; say they are estimating the average treatment effect of Trump rallies on COVID cases &amp; deaths at the county level. 

This is a nice example of economists using a method they are the experts in to answer an important COVID question.",November,Expert,Sun Nov 01 07:12:19 +0000 2020,1.3227986103969587e+18,False,10.0,1.0,author use synthetic control method say estimate average treatment effect trump rally case death county level nice example economist use method expert answer important question
"This is a somewhat silly thing to estimate because there was never going to be a situation where *all* counties had Trump rallies. 

Plus we don’t actually care what might have happened to COVID if counties that really *did not* have a rally had, contrary to fact, held a rally.",November,Expert,Sun Nov 01 07:12:20 +0000 2020,1.3227986135846625e+18,False,5.0,1.0,somewhat silly thing estimate never go situation county trump rally actually care might happen county really rally contrary fact hold rally
"Written like this, it’s easier to see that the key assumption of the paper is:

the amount of COVID in counties that did have rallies would have been equal to the amount of COVID in counties that didn’t have rallies, if those first counties had, contrary to fact, not had rallies.",November,Expert,Sun Nov 01 07:12:21 +0000 2020,1.3227986183116104e+18,False,6.0,2.0,like easy see key assumption paper amount county rally would equal amount county rally first county contrary fact rally
"@conal_tuohy The entire public health community has already eviscerated his ideas. They were dead before Donald Trump ever saw him babbling on FOX News and thought ""there's my next COVID advisor.""",November,Expert,Sun Nov 01 07:21:22 +0000 2020,1.3228008876858122e+18,False,9.0,0.0,entire public health community already eviscerate idea dead trump ever see babble fox news think next advisor
